Date,AAPL-corpbond,HD-corpbond,IBM-corpbond,NKE-corpbond,AAPL-stock,HD-stock,IBM-stock,NKE-stock
3/20/2014, 95.48 , 95.66 , 99.96 , 93.88 ,120.464582,110.5675272,93.77978412,126.0075623
3/21/2014, 96.58 , 95.59 , 99.99 , 93.63 ,121.4146762,111.0231092,93.16586388,119.5538052
3/24/2014, 95.96 , 95.68 , 100.01 , 93.92 ,122.8547202,109.9739111,93.95446858,118.9974456
3/25/2014, 96.48 , 95.93 , 100.12 , 94.13 ,124.1762609,109.7116155,97.34328228,117.0740356
3/26/2014, 96.43 , 96.42 , 100.18 , 95.72 ,122.9891479,108.883292,96.13548127,116.3905051
3/27/2014, 96.31 , 96.56 , 100.21 , 95.17 ,122.4605552,108.6209838,94.74301527,116.5495055
3/28/2014, 97.06 , 96.28 , 100.25 , 94.86 ,122.3238635,108.676176,95.0524608,116.8991747
3/31/2014, 96.76 , 96.25 , 100.27 , 94.19 ,122.296511,109.2422624,96.07063492,117.4078443
4/1/2014, 96.59 , 95.90 , 100.30 , 94.58 ,123.4152447,109.5873288,97.07377927,118.2503612
4/2/2014, 96.05 , 95.86 , 100.27 , 93.69 ,123.6203158,110.3742661,96.59963044,118.4887479
4/3/2014, 96.03 , 96.10 , 100.26 , 93.48 ,122.7635553,109.6149787,96.17042365,117.6145207
4/4/2014, 96.55 , 96.23 , 100.26 , 94.70 ,121.1754886,108.676176,95.7112555,115.7864135
4/7/2014, 96.54 , 96.55 , 100.22 , 94.88 ,119.272955,106.4811429,97.08377956,112.5913609
4/8/2014, 96.66 , 97.04 , 100.25 , 95.01 ,119.2660974,106.4535041,96.46987908,115.913665
4/9/2014, 96.71 , 97.16 , 100.53 , 94.95 ,120.8337239,107.3508858,98.14184838,116.9309622
4/10/2014, 96.58 , 97.02 , 100.48 , 95.80 ,119.275219,105.9979222,97.66271854,115.1665526
4/11/2014, 96.98 , 97.40 , 100.48 , 96.62 ,118.3934372,104.506986,97.41818694,113.2589924
4/14/2014, 97.44 , 97.83 , 100.45 , 96.03 ,118.8650749,104.8797022,98.70581561,115.0552035
4/15/2014, 97.08 , 97.73 , 100.44 , 96.04 ,118.0174625,104.7692816,98.33152373,114.8962977
4/16/2014, 97.55 , 97.45 , 100.32 , 95.63 ,118.2567048,105.7218428,98.02206799,116.1997557
4/17/2014, 97.05 , 97.10 , 100.29 , 96.59 ,119.6078603,106.4259033,94.8328426,117.6780606
4/21/2014, 96.58 , 97.03 , 100.32 , 96.19 ,121.0273847,107.6269889,95.96080637,117.4714333
